,BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwner,CommuteDistance,NumberOfPurchases,ProfitGenerated,Assignments
0,1968,False,3,0,5,5,3,2,True,1,5,10351.6657,2
1,1965,False,2,0,0,0,3,2,True,3,1,25636.9867,3
2,1964,True,2,1,3,3,3,2,True,0,2,9221.5725,3
3,1964,False,2,0,4,4,3,2,True,4,3,16556.0652,3
4,1964,False,2,1,0,0,3,2,False,3,1,27955.7062,3
5,1963,True,2,1,4,4,3,2,True,4,4,17241.6784,3
6,1968,True,3,0,2,0,3,3,True,1,2,13535.9868,0
7,1968,True,3,1,2,0,3,3,True,0,3,15911.803,0
8,1968,False,3,0,3,0,3,3,False,1,3,13191.614,0
9,1979,False,1,0,0,0,2,1,False,3,1,10626.0923,1
10,1944,False,0,0,4,0,1,1,True,3,2,2827.898,1
11,1944,False,1,1,2,0,2,0,True,3,2,9323.6702,1
12,1978,False,1,1,0,0,1,1,False,3,2,12094.631,1
13,1978,True,1,1,0,0,2,1,True,1,1,8082.8653,1
14,1978,True,2,1,0,0,2,1,True,3,2,18587.7082,3
15,1945,True,0,1,2,1,0,0,True,1,2,1345.4481,1
16,1946,False,1,1,2,0,2,0,False,1,2,4769.7423,1
17,1946,True,1,1,2,0,2,0,True,3,2,7415.1147,1
18,1947,True,0,0,2,1,0,0,True,1,3,1000.9566,1
19,1947,True,0,0,4,0,1,1,True,1,2,1345.1621,1
20,1947,True,0,1,4,0,1,1,True,3,2,2975.7973,1
21,1947,True,0,0,4,0,1,1,True,3,2,2279.1232,1
22,1948,True,0,0,2,1,0,0,True,1,2,1022.2452,1
23,1978,True,2,0,0,0,2,1,True,1,2,8696.9761,3
24,1977,False,1,0,0,0,0,0,False,3,2,6821.782,1
25,1948,True,0,0,2,1,0,0,True,3,2,1688.0133,1
26,1948,True,1,1,3,0,2,0,True,3,3,6897.6737,1
27,1977,True,1,1,0,0,2,1,True,1,3,8020.3215,1
28,1977,True,2,0,0,0,2,1,True,1,2,8635.9762,3
29,1949,True,0,1,2,1,0,0,True,1,2,1377.0285,1
30,1950,True,1,0,3,0,1,1,True,3,2,6089.6633,1
31,1950,True,1,0,3,0,1,1,False,1,2,3117.9269,1
32,1950,True,1,1,3,0,1,1,True,3,3,7947.0479,1
33,1980,False,1,0,0,0,0,0,True,3,2,8208.2811,1
34,1951,False,1,0,2,0,2,0,False,3,2,5964.2932,1
35,1952,True,1,0,2,0,2,1,True,3,2,7415.6298,1
36,1952,True,1,1,2,0,2,1,True,3,2,9641.6,1
37,1953,True,1,0,3,0,2,1,True,3,3,6904.6947,1
38,1954,True,3,1,2,0,2,1,True,1,2,10153.9439,2
39,1954,False,3,0,2,0,2,1,True,3,2,15972.2071,1
40,1954,True,3,1,2,0,2,1,True,3,2,16580.0572,2
41,1975,False,1,0,0,0,1,1,True,3,2,11181.0859,1
42,1975,True,1,1,0,0,1,1,True,3,2,11576.3912,1
43,1973,True,2,0,0,0,2,1,False,1,2,7270.954,3
44,1973,True,2,0,0,0,2,2,True,3,2,16515.7592,3
45,1955,False,3,0,2,0,1,1,True,3,2,13931.8086,1
46,1955,False,3,0,2,0,1,1,False,1,2,7075.0238,1
47,1955,True,3,1,2,0,1,1,True,3,2,14486.6455,2
48,1955,False,3,0,2,0,1,1,False,1,2,7084.4046,1
49,1956,False,2,0,2,0,1,1,True,3,2,11412.3021,3
50,1956,False,2,1,2,0,1,1,True,3,2,14700.4603,3
51,1957,False,3,0,2,0,1,2,True,3,2,16068.5157,2
52,1957,False,3,1,2,0,1,2,True,3,3,20880.8645,2
53,1957,False,3,0,2,0,1,2,False,1,2,8149.3955,2
54,1974,False,1,0,0,0,1,2,False,1,2,6587.8398,1
55,1959,True,4,1,0,0,4,3,True,0,2,26461.6529,0
56,1966,True,4,0,2,2,3,3,True,2,3,20218.457,0
57,1966,False,4,0,0,0,4,3,False,1,3,23388.8798,0
58,1966,True,4,0,0,0,4,3,True,1,3,22340.7662,0
59,1957,False,2,0,2,0,1,2,False,3,2,10975.4982,3
60,1957,False,3,0,2,1,3,3,True,2,1,18055.4845,0
61,1957,True,3,1,2,0,2,2,True,3,1,19171.0059,2
62,1962,True,2,1,1,0,3,2,True,3,1,21282.4157,3
63,1961,True,2,1,1,0,3,2,True,0,1,11801.509,3
64,1960,False,2,0,1,0,2,1,True,3,1,14151.8919,3
65,1965,False,2,0,0,0,3,2,False,0,1,11955.1346,3
66,1965,False,3,0,5,5,3,2,True,1,4,10452.2151,2
67,1964,False,2,1,0,0,3,2,False,3,1,27842.3829,3
68,1963,False,2,0,0,0,3,2,False,0,2,11837.7455,3
69,1962,False,2,0,5,4,2,1,True,3,2,9634.1547,3
70,1962,True,2,1,5,4,2,1,True,3,2,9954.9018,3
71,1961,True,2,0,5,4,2,1,True,4,3,8590.425,3
72,1957,False,3,1,1,0,2,1,False,0,1,10449.0105,1
73,1960,True,2,1,5,4,2,1,True,4,3,11065.1164,3
74,1960,True,2,1,5,4,2,1,True,3,3,9964.9215,3
75,1960,True,2,1,5,4,2,1,True,4,3,11059.7145,3
76,1975,True,1,0,0,0,1,1,True,3,1,8942.6146,1
77,1975,False,1,0,0,0,1,1,True,3,1,11167.0897,1
78,1980,True,1,0,0,0,1,1,True,3,2,8860.658,1
79,1980,False,1,0,0,0,1,1,False,3,2,9345.9967,1
80,1946,False,0,1,5,0,1,1,True,3,2,3416.8029,1
81,1979,False,1,1,0,0,0,0,False,3,2,8791.8322,1
82,1978,False,1,0,0,0,1,1,False,0,2,5224.3993,1
83,1978,True,1,0,0,0,1,1,False,0,2,4128.0105,1
84,1938,False,1,0,2,0,2,0,False,3,2,5891.6846,1
85,1977,False,1,1,0,0,0,0,False,3,2,8789.2838,1
86,1977,True,1,0,0,0,1,1,False,0,2,4140.3396,1
87,1977,False,1,1,0,0,1,1,False,0,2,6792.6849,1
88,1977,True,1,1,0,0,1,1,True,3,2,11567.9965,1
89,1979,False,1,1,0,0,1,1,False,0,2,6678.7188,1
90,1979,False,1,0,0,0,1,1,False,0,2,5145.7987,1
91,1939,False,1,0,2,0,3,3,True,3,2,16065.7719,0
92,1939,True,2,1,2,0,4,3,True,0,1,11214.6834,0
93,1941,True,1,1,2,0,3,3,True,0,3,9254.8845,0
94,1941,False,1,1,2,0,3,3,True,3,3,20865.4983,0
95,1942,False,2,0,2,0,4,3,False,0,1,9017.3112,0
96,1976,True,1,0,0,0,1,1,True,3,2,9000.4817,1
97,1976,False,1,0,0,0,2,1,True,3,1,12758.3676,1
98,1976,False,1,1,0,0,2,1,False,1,1,8420.1254,1
99,1976,False,1,0,0,0,2,1,False,1,1,6518.6866,1
100,1975,True,1,0,0,0,1,1,True,3,2,8898.5298,1
101,1975,False,1,1,0,0,1,1,True,3,2,14508.6615,1
102,1974,False,1,1,0,0,2,1,True,3,1,16609.1009,1
103,1974,True,1,1,0,0,2,1,True,3,1,13211.7561,1
104,1974,False,1,1,0,0,2,1,False,1,1,8384.3398,1
105,1972,False,2,0,0,0,2,1,False,0,2,8277.0832,3
