BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwner,CommuteDistance,NumberOfPurchases,ProfitGenerated,Assignments
1968,False,3,0,5,5,3,3,True,1,5,10351.6657,2
1965,False,2,0,0,0,3,3,True,3,1,25636.9867,3
1964,True,2,1,3,3,3,3,True,0,2,9221.5725,3
1964,False,2,0,4,4,3,3,True,4,3,16556.0652,3
1964,False,2,1,0,0,3,3,False,3,1,27955.7062,3
1963,True,2,1,4,4,3,3,True,4,4,17241.6784,3
1968,True,3,0,2,0,3,4,True,1,2,13535.9868,0
1968,True,3,1,2,0,3,4,True,0,3,15911.803,0
1968,False,3,0,3,0,3,4,False,1,3,13191.614,0
1979,False,1,0,0,0,2,2,False,3,1,10626.0923,1
1944,False,0,0,4,0,1,2,True,3,2,2827.898,1
1944,False,1,1,2,0,2,1,True,3,2,9323.6702,1
1978,False,1,1,0,0,1,2,False,3,2,12094.631,1
1978,True,1,1,0,0,2,2,True,1,1,8082.8653,1
1978,True,2,1,0,0,2,2,True,3,2,18587.7082,3
1945,True,0,1,2,1,0,1,True,1,2,1345.4481,1
1946,False,1,1,2,0,2,1,False,1,2,4769.7423,1
1946,True,1,1,2,0,2,1,True,3,2,7415.1147,1
1947,True,0,0,2,1,0,1,True,1,3,1000.9566,1
1947,True,0,0,4,0,1,2,True,1,2,1345.1621,1
1947,True,0,1,4,0,1,2,True,3,2,2975.7973,1
1947,True,0,0,4,0,1,2,True,3,2,2279.1232,1
1948,True,0,0,2,1,0,1,True,1,2,1022.2452,1
1978,True,2,0,0,0,2,2,True,1,2,8696.9761,3
1977,False,1,0,0,0,0,1,False,3,2,6821.782,1
1948,True,0,0,2,1,0,1,True,3,2,1688.0133,1
1948,True,1,1,3,0,2,1,True,3,3,6897.6737,1
1977,True,1,1,0,0,2,2,True,1,3,8020.3215,1
1977,True,2,0,0,0,2,2,True,1,2,8635.9762,3
1949,True,0,1,2,1,0,1,True,1,2,1377.0285,1
1950,True,1,0,3,0,1,2,True,3,2,6089.6633,1
1950,True,1,0,3,0,1,2,False,1,2,3117.9269,1
1950,True,1,1,3,0,1,2,True,3,3,7947.0479,1
1980,False,1,0,0,0,0,1,True,3,2,8208.2811,1
1951,False,1,0,2,0,2,1,False,3,2,5964.2932,1
1952,True,1,0,2,0,2,2,True,3,2,7415.6298,1
1952,True,1,1,2,0,2,2,True,3,2,9641.6,1
1953,True,1,0,3,0,2,2,True,3,3,6904.6947,1
1954,True,3,1,2,0,2,2,True,1,2,10153.9439,2
1954,False,3,0,2,0,2,2,True,3,2,15972.2071,1
1954,True,3,1,2,0,2,2,True,3,2,16580.0572,2
1975,False,1,0,0,0,1,2,True,3,2,11181.0859,1
1975,True,1,1,0,0,1,2,True,3,2,11576.3912,1
1973,True,2,0,0,0,2,2,False,1,2,7270.954,3
1973,True,2,0,0,0,2,3,True,3,2,16515.7592,3
1955,False,3,0,2,0,1,2,True,3,2,13931.8086,1
1955,False,3,0,2,0,1,2,False,1,2,7075.0238,1
1955,True,3,1,2,0,1,2,True,3,2,14486.6455,2
1955,False,3,0,2,0,1,2,False,1,2,7084.4046,1
1956,False,2,0,2,0,1,2,True,3,2,11412.3021,3
1956,False,2,1,2,0,1,2,True,3,2,14700.4603,3
1957,False,3,0,2,0,1,3,True,3,2,16068.5157,2
1957,False,3,1,2,0,1,3,True,3,3,20880.8645,2
1957,False,3,0,2,0,1,3,False,1,2,8149.3955,2
1974,False,1,0,0,0,1,3,False,1,2,6587.8398,1
1959,True,4,1,0,0,4,4,True,0,2,26461.6529,0
1966,True,4,0,2,2,3,4,True,2,3,20218.457,0
1966,False,4,0,0,0,4,4,False,1,3,23388.8798,0
1966,True,4,0,0,0,4,4,True,1,3,22340.7662,0
1957,False,2,0,2,0,1,3,False,3,2,10975.4982,3
1957,False,3,0,2,1,3,4,True,2,1,18055.4845,0
1957,True,3,1,2,0,2,3,True,3,1,19171.0059,2
1962,True,2,1,1,0,3,3,True,3,1,21282.4157,3
1961,True,2,1,1,0,3,3,True,0,1,11801.509,3
1960,False,2,0,1,0,2,2,True,3,1,14151.8919,3
1965,False,2,0,0,0,3,3,False,0,1,11955.1346,3
1965,False,3,0,5,5,3,3,True,1,4,10452.2151,2
1964,False,2,1,0,0,3,3,False,3,1,27842.3829,3
1963,False,2,0,0,0,3,3,False,0,2,11837.7455,3
1962,False,2,0,5,4,2,2,True,3,2,9634.1547,3
1962,True,2,1,5,4,2,2,True,3,2,9954.9018,3
1961,True,2,0,5,4,2,2,True,4,3,8590.425,3
1957,False,3,1,1,0,2,2,False,0,1,10449.0105,1
1960,True,2,1,5,4,2,2,True,4,3,11065.1164,3
1960,True,2,1,5,4,2,2,True,3,3,9964.9215,3
1960,True,2,1,5,4,2,2,True,4,3,11059.7145,3
1975,True,1,0,0,0,1,2,True,3,1,8942.6146,1
1975,False,1,0,0,0,1,2,True,3,1,11167.0897,1
1980,True,1,0,0,0,1,2,True,3,2,8860.658,1
1980,False,1,0,0,0,1,2,False,3,2,9345.9967,1
1946,False,0,1,5,0,1,2,True,3,2,3416.8029,1
1979,False,1,1,0,0,0,1,False,3,2,8791.8322,1
1978,False,1,0,0,0,1,2,False,0,2,5224.3993,1
1978,True,1,0,0,0,1,2,False,0,2,4128.0105,1
1938,False,1,0,2,0,2,1,False,3,2,5891.6846,1
1977,False,1,1,0,0,0,1,False,3,2,8789.2838,1
1977,True,1,0,0,0,1,2,False,0,2,4140.3396,1
1977,False,1,1,0,0,1,2,False,0,2,6792.6849,1
1977,True,1,1,0,0,1,2,True,3,2,11567.9965,1
1979,False,1,1,0,0,1,2,False,0,2,6678.7188,1
1979,False,1,0,0,0,1,2,False,0,2,5145.7987,1
1939,False,1,0,2,0,3,4,True,3,2,16065.7719,0
1939,True,2,1,2,0,4,4,True,0,1,11214.6834,0
1941,True,1,1,2,0,3,4,True,0,3,9254.8845,0
1941,False,1,1,2,0,3,4,True,3,3,20865.4983,0
1942,False,2,0,2,0,4,4,False,0,1,9017.3112,0
1976,True,1,0,0,0,1,2,True,3,2,9000.4817,1
1976,False,1,0,0,0,2,2,True,3,1,12758.3676,1
1976,False,1,1,0,0,2,2,False,1,1,8420.1254,1
1976,False,1,0,0,0,2,2,False,1,1,6518.6866,1
1975,True,1,0,0,0,1,2,True,3,2,8898.5298,1
1975,False,1,1,0,0,1,2,True,3,2,14508.6615,1
1974,False,1,1,0,0,2,2,True,3,1,16609.1009,1
1974,True,1,1,0,0,2,2,True,3,1,13211.7561,1
1974,False,1,1,0,0,2,2,False,1,1,8384.3398,1
1972,False,2,0,0,0,2,2,False,0,2,8277.0832,3
1968,False,3,1,0,0,3,4,False,0,1,22920.9628,0
1968,True,3,0,4,4,3,4,True,0,1,9734.5175,0
1967,True,3,0,1,0,3,4,True,1,2,14800.7743,0
1967,False,4,0,0,0,4,4,False,0,5,21224.6107,0
1963,False,2,1,0,0,2,2,True,3,2,23243.9434,3
1942,True,4,1,2,2,4,4,True,3,2,31545.8212,0
1943,True,3,1,2,4,4,4,True,1,3,13804.2681,0
1943,True,4,0,2,2,4,4,True,3,3,24169.0166,0
1943,True,4,0,1,1,3,4,True,0,4,17005.2185,0
1943,True,4,1,2,2,4,4,True,0,6,17512.698,0
1944,True,2,0,4,0,4,4,True,4,2,15167.0462,0
1944,True,2,0,4,0,4,4,False,1,2,7006.0057,0
1944,False,2,1,4,0,4,4,True,4,2,24572.2203,0
1945,False,2,0,5,0,3,4,True,4,3,20275.224,0
1945,True,2,0,4,0,3,4,True,2,2,11392.3037,0
1946,True,2,0,5,0,3,4,True,4,3,16167.6004,0
1946,True,2,1,5,0,3,4,True,4,3,21036.64,0
1946,True,2,0,3,1,3,4,False,1,1,7756.1251,0
1946,False,2,0,4,1,3,4,True,4,1,19840.9466,0
1946,True,2,0,4,1,3,4,True,4,1,15935.5285,0
1947,True,2,1,4,1,3,4,True,1,1,11378.9718,0
1947,True,3,0,5,0,3,4,False,1,2,9063.2742,0
1948,True,1,1,2,1,1,3,True,4,2,9809.4997,2
1948,True,1,0,2,1,1,3,True,2,3,4904.9395,2
1948,True,2,1,2,1,2,3,True,4,1,15702.8387,3
1948,True,2,1,4,1,2,3,True,4,2,13806.8706,3
1949,True,1,0,2,1,1,3,True,2,3,4928.2773,2
1949,True,1,0,2,1,1,3,True,2,2,4941.17,2
1949,False,2,0,2,1,2,3,True,4,2,15108.8645,3
1950,True,1,0,2,1,0,2,True,4,2,6189.8805,1
1950,False,2,0,2,1,2,3,True,4,2,15175.6618,3
1950,False,2,0,2,1,2,3,True,4,2,15160.4678,3
1950,True,2,1,2,1,1,3,True,4,2,13735.718,3
1950,True,2,1,4,2,2,3,True,1,1,7498.2744,3
1951,False,2,0,2,1,1,3,True,2,2,8568.3118,3
1951,False,2,0,2,1,1,3,True,4,2,13150.4341,3
1951,True,2,0,2,1,2,3,True,4,1,12092.3706,3
1952,True,2,1,2,1,1,3,True,4,2,13817.5183,3
1952,True,2,0,3,1,1,3,False,2,2,5361.3985,3
1952,False,2,0,4,2,2,3,True,4,2,13214.0971,3
1952,True,2,1,4,2,2,3,True,4,2,13712.7643,3
1952,False,2,1,5,2,2,3,True,4,2,15957.3234,3
1958,False,4,1,2,4,3,4,False,0,4,21045.7806,0
1958,False,4,0,2,2,3,4,False,0,4,16219.2068,0
1958,True,4,0,2,2,2,3,False,3,2,15577.3547,2
1958,True,4,0,2,2,2,3,True,3,4,18683.9815,2
1957,False,3,0,2,2,2,3,True,3,4,16742.2472,2
1957,True,4,1,2,4,2,3,True,3,3,24294.4839,2
1957,False,4,0,2,2,3,4,False,0,3,16257.5037,0
1956,True,4,1,3,4,1,3,False,3,5,16597.4668,2
1956,True,4,0,3,3,1,3,False,3,5,12723.6043,2
1956,False,4,0,3,3,2,3,False,0,3,10063.4438,2
1955,True,4,1,3,3,2,3,True,4,6,25309.6592,2
1955,True,4,0,3,3,2,3,True,0,3,9650.1985,2
1955,True,4,0,3,3,1,3,True,3,2,15337.8939,2
1932,False,1,1,4,0,1,3,False,3,2,8832.6379,1
1933,True,2,1,2,0,4,4,True,1,2,12378.4416,0
1933,True,2,0,4,0,4,4,True,3,2,13571.3723,0
1933,False,4,0,1,1,4,4,True,2,4,23917.3014,0
1933,True,4,1,1,1,4,4,True,2,4,24999.7744,0
1965,True,3,0,4,1,2,3,True,2,4,8422.4014,2
1965,True,4,0,2,2,3,4,True,2,3,20232.5898,0
1964,True,3,0,5,5,2,3,True,2,3,7886.5755,2
1964,False,3,1,5,5,2,3,False,0,3,8189.7556,2
1964,True,3,0,5,5,2,3,True,0,3,6030.7569,2
1964,False,4,1,4,2,2,3,True,2,4,19139.0755,2
1964,True,4,0,2,2,4,4,True,1,2,14773.7164,0
1964,True,4,1,2,2,4,4,True,0,3,17561.1293,0
1964,False,4,0,2,0,3,4,False,1,4,19588.488,0
1934,True,1,1,2,0,4,4,True,3,2,14425.2691,0
1934,True,3,0,4,0,4,4,True,0,2,9376.074,0
1963,True,3,0,4,3,2,3,True,2,2,8430.2428,2
1963,False,3,1,0,0,2,3,False,4,1,30393.0989,2
1963,False,4,0,4,2,3,4,True,3,5,30651.1355,0
1962,True,3,1,5,4,2,3,True,1,4,8680.3302,2
1962,True,4,0,1,1,3,4,True,1,2,18752.6299,0
1962,True,4,1,1,2,2,3,False,2,4,16000.3927,2
1962,True,4,1,0,0,4,4,True,2,4,34413.5906,0
1961,True,2,1,5,4,2,3,False,3,3,9566.6026,3
1961,True,4,0,1,2,3,4,True,2,3,22087.0809,0
1961,True,4,0,1,1,3,4,True,0,1,17011.4186,0
1961,True,4,0,1,1,3,4,True,2,3,22188.3156,0
1961,True,4,0,1,1,3,4,True,2,3,22134.8518,0
1961,False,4,1,1,1,2,3,False,0,3,15359.82,2
1955,True,2,1,2,0,1,3,False,1,2,6987.603,3
1954,False,3,0,2,0,0,2,True,3,2,13253.9396,1
1935,False,1,0,2,0,4,4,True,3,2,13924.6992,0
